transaction_id,user_id,merchant_id,amount,transaction_type,merchant_category,device_type,country,hour,day_of_week,is_weekend,account_age_days,customer_tenure_months,prior_txn_24h,prior_txn_7d,avg_amount_30d,days_since_last_txn,chargeback_history,failed_login_24h,credit_score_band,is_foreign_txn,is_high_risk_country,is_new_device,merchant_risk_score,fraud_label
TXN000031,50540,180,126.2,transfer,food_delivery,desktop,UK,19,5,1,2120,70,2,10,191.94,0,0,2,excellent,0,0,0,28,0
TXN000032,30451,108,44.08,purchase,electronics,mobile,US,15,3,0,3520,117,1,6,17.99,6,0,0,poor,0,0,0,25,0
TXN000033,18292,938,20.57,subscription,utilities,mobile,IN,0,0,0,2226,74,2,14,25.52,2,0,1,excellent,1,0,0,31,0
TXN000034,59912,269,12.01,purchase,fashion,mobile,AU,19,6,1,3409,113,3,10,13.97,0,1,0,excellent,0,0,0,61,0
TXN000035,89909,834,51.95,purchase,gaming,tablet,US,8,3,0,3573,119,4,6,51.58,5,0,0,poor,0,0,0,74,0
TXN000036,15743,128,124.23,purchase,finance,desktop,DE,11,4,0,711,23,4,10,113.84,7,0,0,good,0,0,0,30,0
TXN000037,87245,238,18.28,subscription,health,mobile,BR,11,6,1,2411,80,2,12,26.62,1,0,1,very_good,0,1,1,70,0
TXN000038,84485,199,24.64,cash_out,food_delivery,mobile,BR,19,2,0,2669,88,2,10,40.44,3,0,0,good,0,1,0,14,0
TXN000039,34908,734,18.6,purchase,food_delivery,mobile,FR,6,4,0,2993,99,5,10,15.58,6,0,1,poor,0,0,0,20,0
TXN000040,66849,657,148.4,purchase,utilities,mobile,DE,9,0,0,1275,42,4,19,140.58,5,0,0,good,0,0,0,29,0
TXN000041,24870,527,6.57,purchase,gaming,mobile,FR,0,6,1,3144,104,1,13,4.82,16,0,0,good,0,0,1,70,0
TXN000042,78227,317,116.4,purchase,utilities,tablet,UK,8,0,0,1779,59,3,15,63.93,4,0,0,excellent,0,0,1,56,0
TXN000043,73046,179,26.06,bill_payment,health,desktop,CA,2,3,0,1412,47,3,12,27.07,4,0,0,very_good,0,0,1,47,1
TXN000044,41906,611,34.31,purchase,finance,mobile,US,13,2,0,573,19,1,9,33.45,1,0,0,excellent,1,0,0,61,0
TXN000045,16112,307,26.94,purchase,food_delivery,desktop,DE,21,0,0,1173,39,3,10,11.23,8,0,1,good,0,0,0,20,0
TXN000046,97361,630,45.41,purchase,fashion,tablet,CA,11,3,0,3557,118,2,16,47.08,6,0,1,very_good,0,0,0,27,0
TXN000047,50111,718,18.98,bill_payment,education,mobile,UK,21,6,1,2614,87,1,7,18.69,2,0,1,fair,0,0,0,71,0
TXN000048,90380,863,94.87,purchase,finance,mobile,BR,23,1,0,2650,88,2,8,68.27,1,0,0,good,0,1,0,99,0
TXN000049,71012,544,98.41,transfer,fashion,tablet,UK,1,2,0,3269,108,4,11,68.89,3,0,0,excellent,0,0,0,1,0
TXN000050,80053,104,15.1,purchase,finance,mobile,UK,12,1,0,974,32,1,10,15.51,3,0,0,very_good,0,0,0,37,0
TXN000051,78390,352,66.73,purchase,fashion,desktop,US,12,0,0,2414,80,3,5,92.27,0,0,1,very_good,0,0,0,89,0
TXN000052,27517,867,26.55,subscription,finance,mobile,DE,9,1,0,1356,45,3,10,27.07,4,0,0,fair,0,0,0,84,0
TXN000053,42751,579,38.34,purchase,food_delivery,mobile,UK,19,4,0,3095,103,1,8,43.48,1,0,0,fair,0,0,0,27,0
TXN000054,52004,656,144.41,subscription,fashion,desktop,CA,9,5,1,1542,51,2,10,93.92,5,0,0,very_good,0,0,0,4,0
TXN000055,54800,511,19.95,purchase,food_delivery,mobile,US,1,4,0,3120,104,3,18,15.48,10,1,0,good,0,0,0,57,0
TXN000056,13942,246,84.26,transfer,fashion,mobile,BR,13,5,1,2728,90,2,9,91.2,8,0,1,good,1,1,0,70,0
TXN000057,59190,906,55.22,transfer,health,mobile,SG,4,5,1,2817,93,1,9,27.2,0,0,1,very_good,0,0,0,26,0
TXN000058,23885,794,30.73,transfer,utilities,mobile,DE,8,2,0,3378,112,6,17,29.57,1,0,0,poor,0,0,0,31,0
TXN000059,76903,994,50.94,purchase,grocery,mobile,IN,12,6,1,2885,96,2,11,53.39,2,1,0,good,0,0,0,68,0
TXN000060,71473,869,45.77,transfer,fashion,mobile,FR,17,1,0,1173,39,2,11,40.66,1,0,0,fair,0,0,0,54,0
TXN000061,93026,361,12.9,bill_payment,gaming,mobile,AE,6,4,0,1904,63,1,4,12.85,0,0,1,poor,0,1,0,29,0
TXN000062,77027,328,21.2,purchase,travel,mobile,IN,9,0,0,1725,57,1,8,19.45,1,0,0,fair,0,0,0,84,0
TXN000063,42997,323,14.29,purchase,electronics,mobile,SG,1,5,1,236,7,1,5,10.19,2,0,0,fair,1,0,1,91,0
TXN000064,97074,925,28.53,cash_out,gaming,desktop,SG,9,0,0,2165,72,3,8,15.59,3,0,0,good,1,0,0,73,0
TXN000065,46976,600,122.8,purchase,grocery,mobile,BR,13,1,0,1597,53,3,10,107.19,8,0,0,good,0,1,0,95,0
TXN000066,39323,508,61.74,subscription,fashion,mobile,DE,14,2,0,1436,47,3,15,79.73,2,0,1,good,0,0,0,36,0
TXN000067,91497,970,10.08,transfer,grocery,mobile,US,7,4,0,400,13,0,9,12.17,1,0,0,excellent,0,0,0,12,0
TXN000068,43341,642,28.62,purchase,electronics,mobile,US,1,0,0,1840,61,0,7,22.79,6,0,0,good,0,0,0,74,0
TXN000069,16870,917,45.16,purchase,utilities,desktop,DE,13,1,0,2113,70,4,11,35.68,0,0,1,very_good,0,0,1,57,0
TXN000070,52259,985,71.5,purchase,utilities,mobile,DE,15,2,0,386,12,2,12,54.92,0,1,0,very_good,0,0,0,42,0
TXN000071,81610,171,20.38,purchase,travel,mobile,CA,2,5,1,2317,77,1,8,15.65,7,0,0,good,0,0,0,27,0
TXN000072,27052,425,12.02,cash_out,finance,tablet,IN,12,6,1,612,20,5,12,11.86,0,0,0,good,0,0,0,7,0
TXN000073,51664,759,34.79,purchase,gaming,desktop,IN,2,4,0,530,17,3,11,42.35,4,0,0,excellent,0,0,0,18,0
TXN000074,21692,831,61.08,purchase,utilities,desktop,FR,10,3,0,1464,48,1,7,96.44,3,1,0,good,0,0,0,67,0
TXN000075,71782,233,45.21,cash_out,fashion,desktop,US,15,2,0,1420,47,4,15,29.43,10,0,1,good,0,0,0,23,0
TXN000076,52812,386,16.51,purchase,grocery,tablet,US,17,5,1,3339,111,0,9,18.08,0,0,0,good,0,0,0,94,0
TXN000077,39717,592,177.53,cash_out,food_delivery,mobile,BR,17,0,0,247,8,1,6,188.66,6,0,0,very_good,0,1,0,48,0
TXN000078,30421,818,33.48,purchase,grocery,mobile,FR,18,0,0,1275,42,2,7,26.82,1,0,0,good,0,0,0,9,0
TXN000079,60804,201,43.57,purchase,finance,mobile,AE,5,1,0,2681,89,3,11,25.8,1,0,0,good,1,1,1,66,0
TXN000080,70282,640,20.17,purchase,gaming,mobile,FR,20,1,0,912,30,3,13,19.82,6,0,0,good,0,0,1,69,0
TXN000081,94626,366,99.07,subscription,gaming,mobile,SG,8,3,0,3582,119,3,12,152.17,2,0,0,very_good,0,0,0,18,0
TXN000082,49343,294,61.23,transfer,gaming,mobile,UK,8,6,1,2711,90,2,12,60.05,0,0,0,good,0,0,0,84,0
TXN000083,24461,563,48.58,cash_out,food_delivery,desktop,CA,18,4,0,3453,115,2,12,32.25,2,0,0,excellent,1,0,0,74,0
TXN000084,84940,472,12.98,bill_payment,electronics,desktop,UK,7,2,0,3464,115,4,13,11.07,4,0,0,very_good,0,0,0,60,0
TXN000085,66678,671,97.97,subscription,food_delivery,desktop,IN,1,1,0,399,13,4,11,54.66,15,0,0,fair,0,0,0,13,0
TXN000086,73023,385,72.33,transfer,food_delivery,mobile,SG,17,4,0,1676,55,1,4,65.5,0,0,0,good,0,0,1,49,0
TXN000087,18750,840,91.24,purchase,finance,mobile,CA,15,1,0,2717,90,5,11,100.82,3,0,0,excellent,0,0,0,98,0
TXN000088,38112,170,37.84,bill_payment,utilities,mobile,IN,13,6,1,32,1,1,13,26.19,3,1,0,fair,0,0,0,24,0
TXN000089,79105,874,34.21,subscription,food_delivery,mobile,UK,3,3,0,1650,55,3,8,3.0,1,0,0,good,0,0,0,94,0
TXN000090,84902,126,31.07,bill_payment,health,tablet,US,15,3,0,2512,83,3,10,30.54,6,0,1,fair,1,0,0,20,0
TXN000091,49169,761,284.6,purchase,gaming,desktop,US,4,6,1,2894,96,1,12,213.32,1,0,1,poor,0,0,0,61,0
TXN000092,82427,411,22.46,purchase,travel,tablet,US,13,2,0,1515,50,0,12,15.16,0,1,0,good,0,0,0,40,0
TXN000093,85751,444,12.58,transfer,finance,desktop,AE,12,3,0,3150,105,2,7,8.46,6,0,0,very_good,0,1,1,7,0
TXN000094,44872,117,26.16,purchase,travel,tablet,CA,18,3,0,2459,81,2,13,26.69,12,0,0,very_good,0,0,0,65,0
TXN000095,90826,731,22.65,purchase,health,mobile,FR,23,1,0,167,5,1,6,17.61,0,0,1,poor,0,0,0,48,0
TXN000096,35949,248,113.73,bill_payment,electronics,mobile,AU,4,0,0,1014,33,4,16,134.1,0,0,0,good,0,0,1,32,0
TXN000097,31559,692,10.8,purchase,travel,mobile,US,2,1,0,3423,114,2,9,12.81,6,0,0,good,0,0,0,24,0
TXN000098,71423,751,22.08,purchase,grocery,mobile,US,13,0,0,9,1,1,9,18.08,0,0,0,very_good,0,0,0,49,0
TXN000099,67307,859,43.44,purchase,gaming,mobile,FR,22,4,0,395,13,4,8,32.31,1,0,0,good,0,0,0,11,0
TXN000100,22577,736,114.6,purchase,health,mobile,UK,3,0,0,1258,41,2,10,107.53,3,0,1,excellent,0,0,0,60,0
TXN000101,84945,371,69.53,subscription,food_delivery,tablet,SG,11,2,0,3627,120,3,16,59.54,5,0,0,very_good,0,0,0,10,0
TXN000102,27991,763,157.14,bill_payment,gaming,mobile,US,9,6,1,2572,85,0,10,58.81,2,0,0,very_good,1,0,0,21,0
TXN000103,82440,842,49.96,bill_payment,fashion,tablet,IN,7,3,0,539,17,0,4,73.65,0,0,0,good,0,0,1,51,0
TXN000104,10662,385,30.47,subscription,health,desktop,FR,15,4,0,1435,47,2,8,33.95,1,0,1,good,0,0,0,75,0
TXN000105,81715,211,79.04,subscription,electronics,mobile,US,7,4,0,3429,114,4,11,60.15,5,1,1,good,1,0,0,40,0
TXN000106,80822,900,10.69,purchase,finance,desktop,UK,11,2,0,800,26,2,9,3.48,0,0,0,very_good,0,0,0,63,0
TXN000107,80232,232,7.85,cash_out,food_delivery,mobile,AE,20,4,0,2100,70,0,10,6.64,3,0,0,excellent,0,1,1,94,0
TXN000108,69835,633,88.11,purchase,grocery,mobile,UK,9,1,0,1694,56,0,13,63.76,2,1,1,excellent,1,0,0,60,0
TXN000109,52440,312,44.23,purchase,grocery,mobile,DE,0,4,0,2775,92,2,8,39.0,2,0,0,good,0,0,0,76,0
TXN000110,73464,213,87.15,bill_payment,electronics,tablet,DE,21,4,0,2746,91,4,9,21.86,3,0,0,very_good,0,0,0,48,0
TXN000111,34940,797,16.99,cash_out,travel,mobile,UK,6,6,1,3041,101,3,10,12.88,6,0,0,good,0,0,1,26,0
TXN000112,80264,229,116.32,purchase,electronics,mobile,BR,18,6,1,436,14,4,10,90.33,3,0,1,poor,0,1,0,37,0
TXN000113,60007,702,66.91,subscription,utilities,desktop,BR,18,0,0,1657,55,0,13,56.36,5,0,0,very_good,0,1,0,36,0
TXN000114,51301,723,35.59,purchase,fashion,desktop,CA,12,2,0,2525,84,2,6,29.51,0,0,0,excellent,0,0,0,55,0
TXN000115,55504,154,44.11,purchase,education,mobile,FR,2,3,0,1529,50,2,7,40.39,4,0,0,very_good,0,0,1,16,0
TXN000116,61186,255,50.01,purchase,health,mobile,US,22,2,0,2436,81,5,9,67.83,1,0,0,excellent,0,0,0,77,0
TXN000117,13353,814,16.93,purchase,grocery,mobile,US,16,4,0,2320,77,3,11,12.62,4,0,0,good,0,0,0,16,0
TXN000118,22581,556,25.88,purchase,finance,desktop,IN,10,5,1,1353,45,2,12,16.22,1,0,0,very_good,0,0,0,71,0
TXN000119,32093,209,49.3,purchase,fashion,mobile,AE,20,1,0,366,12,1,6,18.82,4,0,0,very_good,0,1,0,48,0
TXN000120,20307,991,24.96,purchase,finance,mobile,US,18,6,1,3541,118,3,7,18.64,10,0,1,good,0,0,0,74,0
TXN000121,49564,338,9.75,purchase,food_delivery,mobile,US,18,6,1,3015,100,3,10,4.68,2,0,1,fair,0,0,0,18,0
TXN000122,70155,103,47.72,bill_payment,education,mobile,IN,4,6,1,3265,108,0,8,56.69,5,0,2,good,0,0,0,21,0
TXN000123,68897,930,77.67,subscription,finance,mobile,BR,15,0,0,1095,36,3,7,67.66,0,0,0,good,0,1,0,26,0
TXN000124,52398,114,95.74,bill_payment,gaming,mobile,US,6,2,0,1154,38,6,16,113.15,3,0,0,very_good,0,0,0,78,0
TXN000125,86956,597,59.09,purchase,grocery,mobile,CA,1,0,0,1181,39,4,7,79.16,1,0,1,excellent,1,0,0,27,0
TXN000126,60870,992,76.44,subscription,fashion,mobile,BR,8,0,0,114,3,1,11,48.96,1,0,0,very_good,0,1,0,34,0
TXN000127,17127,619,89.01,cash_out,utilities,mobile,CA,2,0,0,620,20,3,7,70.83,0,0,1,fair,0,0,0,14,0
TXN000128,78849,625,39.32,purchase,gaming,mobile,US,2,3,0,1126,37,4,12,51.1,5,1,0,good,1,0,1,24,1
TXN000129,61713,448,5.44,purchase,finance,desktop,US,17,0,0,3603,120,3,9,5.2,3,0,0,good,0,0,1,86,0
TXN000130,67124,214,103.94,purchase,travel,tablet,CA,12,2,0,748,24,0,8,109.81,9,0,0,very_good,0,0,0,13,0
TXN000131,60883,614,16.38,purchase,utilities,mobile,DE,9,6,1,1854,61,2,9,19.82,4,0,0,fair,0,0,0,92,0
TXN000132,59821,906,13.23,purchase,finance,tablet,FR,4,6,1,1997,66,1,6,15.47,1,0,0,good,0,0,0,84,0
TXN000133,18150,181,13.56,purchase,travel,mobile,IN,18,6,1,1313,43,4,12,13.87,0,1,0,excellent,0,0,1,95,0
TXN000134,60328,891,342.45,purchase,gaming,mobile,AU,15,0,0,3353,111,4,14,451.66,4,0,0,poor,0,0,0,63,0
TXN000135,81541,473,54.41,subscription,food_delivery,desktop,AE,14,4,0,341,11,2,6,47.85,5,0,0,very_good,0,1,0,69,0
TXN000136,37355,582,14.33,purchase,grocery,desktop,CA,4,4,0,3176,105,4,17,15.13,4,0,0,excellent,0,0,0,85,0
TXN000137,64254,248,19.79,purchase,electronics,desktop,CA,2,0,0,2714,90,2,13,16.76,5,0,0,very_good,0,0,0,71,0
TXN000138,12773,658,36.57,subscription,grocery,mobile,SG,2,6,1,1116,37,1,9,44.11,3,0,0,excellent,0,0,0,57,0
TXN000139,41274,263,59.63,purchase,health,desktop,UK,0,2,0,2802,93,4,11,41.13,3,0,0,very_good,0,0,0,43,0
TXN000140,49304,345,47.06,purchase,fashion,mobile,AU,23,6,1,1564,52,1,11,18.6,0,0,0,good,1,0,0,87,0
TXN000141,98445,748,15.87,purchase,travel,mobile,BR,8,0,0,3542,118,1,10,17.4,2,0,0,good,0,1,0,32,0
TXN000142,29312,145,48.69,purchase,utilities,mobile,US,15,4,0,134,4,2,10,28.92,4,0,0,poor,0,0,0,56,0
TXN000143,34889,502,21.11,purchase,electronics,tablet,DE,23,0,0,109,3,1,7,11.91,0,0,0,poor,0,0,0,7,0
TXN000144,46767,634,93.9,purchase,electronics,mobile,US,22,6,1,1986,66,2,17,120.14,5,0,0,very_good,0,0,0,65,0
TXN000145,99338,218,38.5,purchase,gaming,desktop,US,7,4,0,3399,113,2,11,45.81,8,0,0,fair,1,0,0,14,0
TXN000146,86805,364,18.48,bill_payment,electronics,mobile,DE,11,0,0,232,7,1,6,14.73,2,0,1,good,0,0,0,6,0
TXN000147,13122,408,68.04,bill_payment,electronics,desktop,UK,11,1,0,2839,94,0,9,3.0,4,0,0,very_good,0,0,1,30,0
TXN000148,31054,696,51.67,purchase,fashion,desktop,BR,0,2,0,3425,114,0,7,54.77,0,0,1,fair,0,1,0,67,0
TXN000149,83949,978,23.87,purchase,fashion,desktop,SG,18,0,0,1775,59,4,14,26.23,5,0,1,good,0,0,0,83,0
TXN000150,15247,851,70.6,purchase,finance,mobile,BR,13,0,0,3164,105,6,16,74.49,3,0,0,very_good,0,1,0,60,0
TXN000151,87009,270,64.47,cash_out,fashion,mobile,UK,8,6,1,2763,92,5,12,67.13,1,0,1,poor,0,0,0,66,0
TXN000152,35324,116,107.95,cash_out,health,mobile,UK,13,6,1,782,26,2,10,91.28,1,0,0,good,0,0,0,25,0
TXN000153,92587,146,69.35,purchase,food_delivery,mobile,UK,17,3,0,3117,103,1,8,53.88,0,0,0,poor,0,0,1,11,0
TXN000154,36423,635,30.19,purchase,education,mobile,US,0,6,1,2552,85,0,5,17.15,0,1,0,very_good,0,0,0,12,0
TXN000155,49088,240,7.99,purchase,education,mobile,AE,15,4,0,46,1,3,13,5.52,3,0,0,very_good,0,1,0,8,0
TXN000156,69571,307,43.29,cash_out,travel,mobile,CA,20,0,0,2073,69,2,8,43.14,1,0,0,good,0,0,1,35,0
TXN000157,21365,861,49.78,bill_payment,finance,mobile,US,17,5,1,2388,79,2,8,49.85,6,0,0,fair,0,0,0,75,0
TXN000158,60132,885,38.32,purchase,electronics,mobile,FR,14,0,0,2925,97,1,7,43.57,3,1,0,very_good,0,0,0,7,0
TXN000159,55450,854,2.44,purchase,fashion,tablet,CA,2,5,1,2815,93,2,10,3.0,0,0,2,good,0,0,0,35,0
TXN000160,80550,328,67.42,purchase,finance,mobile,US,17,2,0,1736,57,4,9,27.12,2,0,1,good,0,0,0,61,0
TXN000161,99648,657,16.11,subscription,electronics,tablet,US,18,0,0,1092,36,1,8,12.66,5,0,0,poor,0,0,0,6,0
TXN000162,69787,649,67.84,bill_payment,fashion,tablet,IN,11,1,0,700,23,2,13,40.3,1,0,0,poor,0,0,0,55,0
TXN000163,46826,266,169.12,purchase,fashion,mobile,BR,13,4,0,325,10,1,6,161.64,2,0,0,fair,0,1,0,40,0
TXN000164,46574,597,29.15,purchase,electronics,desktop,US,14,5,1,2335,77,2,11,14.78,0,0,0,fair,1,0,1,92,0
TXN000165,47615,572,54.31,purchase,fashion,mobile,SG,2,3,0,3503,116,3,13,68.11,7,0,1,fair,0,0,0,50,0
TXN000166,83261,456,37.69,purchase,health,desktop,FR,6,1,0,293,9,5,15,24.63,1,0,0,fair,0,0,0,52,0
TXN000167,38909,775,58.73,cash_out,education,mobile,FR,19,6,1,2565,85,1,5,80.92,1,0,1,excellent,0,0,0,86,0
TXN000168,25027,709,40.17,purchase,electronics,mobile,US,23,5,1,2134,71,5,12,42.47,5,0,2,good,0,0,1,73,0
TXN000169,40085,578,22.98,cash_out,utilities,mobile,US,6,2,0,628,20,3,6,13.41,0,0,0,good,0,0,0,55,0
TXN000170,12044,752,16.21,purchase,electronics,mobile,FR,9,3,0,777,25,1,5,24.78,1,0,0,good,0,0,0,67,0
TXN000171,19552,786,153.15,purchase,education,tablet,UK,21,6,1,1038,34,1,13,150.03,0,0,0,poor,0,0,0,41,0
TXN000172,18104,609,54.31,purchase,finance,desktop,IN,3,2,0,2500,83,1,10,51.59,14,0,1,excellent,0,0,0,70,0
TXN000173,79438,340,77.28,purchase,health,desktop,BR,6,0,0,1090,36,3,7,68.04,0,0,0,poor,0,1,0,31,0
TXN000174,75011,781,52.41,purchase,gaming,tablet,US,1,1,0,3022,100,1,9,54.5,1,0,0,very_good,0,0,0,32,0
TXN000175,72708,745,88.08,subscription,fashion,desktop,BR,5,4,0,1350,45,0,9,93.16,6,0,0,very_good,0,1,0,83,0
TXN000176,51568,984,16.34,purchase,grocery,mobile,SG,15,6,1,400,13,3,10,10.47,5,0,0,good,0,0,0,42,0
TXN000177,74534,234,39.44,purchase,finance,desktop,AU,8,5,1,349,11,1,5,32.97,9,0,0,very_good,0,0,0,54,0
TXN000178,24514,476,57.68,purchase,travel,mobile,DE,23,4,0,1461,48,1,5,53.91,3,0,0,very_good,0,0,0,12,0
TXN000179,91055,930,117.14,purchase,electronics,mobile,FR,21,2,0,1489,49,3,13,125.9,2,0,1,excellent,0,0,1,35,0
TXN000180,55093,562,405.76,cash_out,food_delivery,mobile,IN,21,3,0,2677,89,1,8,438.18,1,0,0,good,0,0,0,66,0
TXN000181,94423,947,52.81,bill_payment,education,tablet,BR,17,0,0,1747,58,1,13,50.14,3,0,0,fair,0,1,1,54,0
TXN000182,23707,111,20.19,purchase,electronics,mobile,FR,16,2,0,598,19,0,7,14.84,0,0,0,good,0,0,0,31,0
TXN000183,54759,131,12.48,transfer,electronics,mobile,BR,12,4,0,779,25,1,9,8.98,0,0,0,poor,0,1,0,3,0
TXN000184,72668,815,16.21,transfer,fashion,mobile,UK,23,6,1,2068,68,4,11,8.79,0,0,0,good,0,0,0,55,0
TXN000185,54605,422,18.23,bill_payment,electronics,mobile,US,2,6,1,1220,40,2,11,19.65,4,0,0,good,0,0,0,35,0
TXN000186,50153,567,2.69,purchase,education,mobile,US,17,5,1,2452,81,1,10,3.0,2,0,0,fair,0,0,0,93,0
TXN000187,24959,484,19.92,purchase,fashion,desktop,IN,3,0,0,3369,112,4,8,16.78,15,0,2,excellent,0,0,0,5,1
TXN000188,44291,466,69.76,purchase,education,desktop,IN,8,5,1,1295,43,3,7,67.76,2,0,0,excellent,0,0,1,69,0
TXN000189,31488,944,39.17,cash_out,fashion,mobile,IN,6,1,0,2014,67,2,12,35.3,3,0,0,poor,0,0,1,39,0
TXN000190,37135,184,29.0,transfer,utilities,mobile,CA,14,4,0,3036,101,2,13,26.05,3,0,0,fair,0,0,0,27,0
TXN000191,71532,794,8.5,purchase,food_delivery,mobile,BR,18,6,1,768,25,5,14,5.34,6,0,0,good,0,1,1,72,0
TXN000192,66724,899,94.2,purchase,travel,mobile,SG,1,6,1,1864,62,1,8,92.38,15,1,0,poor,0,0,0,52,0
TXN000193,64647,691,58.01,transfer,gaming,mobile,UK,14,4,0,1114,37,1,5,46.76,2,0,0,poor,0,0,0,8,0
TXN000194,42562,455,36.17,cash_out,electronics,desktop,AU,5,2,0,2288,76,0,9,31.62,0,0,0,excellent,1,0,0,61,0
TXN000195,96371,243,5.04,purchase,electronics,mobile,IN,1,3,0,2712,90,2,7,6.29,6,0,0,poor,1,0,0,18,0
TXN000196,17888,713,23.53,subscription,health,mobile,IN,10,4,0,515,17,5,14,24.74,3,0,0,fair,0,0,0,86,0
TXN000197,40832,521,54.07,purchase,electronics,mobile,US,13,3,0,685,22,5,13,39.4,7,0,0,good,0,0,0,25,0
TXN000198,20620,234,35.67,purchase,education,mobile,BR,4,2,0,85,2,2,9,30.51,5,0,0,poor,0,1,0,80,0
TXN000199,40504,423,43.5,purchase,travel,mobile,AE,9,2,0,44,1,3,9,60.02,2,0,0,very_good,0,1,0,33,0
TXN000200,96569,964,67.82,transfer,fashion,tablet,AU,22,4,0,186,6,1,12,54.78,5,0,0,very_good,0,0,0,32,0
TXN000201,42963,338,42.07,bill_payment,health,desktop,SG,8,0,0,2580,86,1,8,38.37,1,1,1,good,1,0,0,1,0
TXN000202,91771,260,65.67,purchase,health,tablet,AE,23,6,1,3299,109,3,13,72.19,10,0,0,fair,0,1,0,92,0
